Location,Nearby Police Stations
Connaught Place,"Parliament Street,Tilak Marg,Barakhamba Road,Kamla Market,IP Estate"
Hauz Khas,"Green Park,Safdurjung Enclave,Malviya Nagar,Vasant Vihar,R K Puram"
Dwarka,"Dwarka North,Dwarka South,Najafgarh,Dabri,Bindapur"
Rohini,"Prashant Vihar,KN Katju Marg,Aman Vihar,Begumpur,Samaypur"
Chandni Chowk,"Kotwali,Lahori Gate,Darya Ganj,Civil Lines,Kashmere Gate"
Saket,"Mehrauli,Malviya Nagar,Neb Sarai,Ambedkar Nagar,Sangam Vihar"
Lajpat Nagar,"Defence Colony,Greater Kailash,Amar Colony,Nizamuddin,Jangpura"
Mayur Vihar,"Ghazipur,Pandav Nagar,Mandawali,Kalyanpuri,New Ashok Nagar"
Vasant Kunj,"Vasant Vihar,Mehrauli,RK Puram,IGI Airport,Delhi Cantonment"
Pitampura,"Maurya Enclave,Rani Bagh,Kohat Enclave,Shalimar Bagh,Model Town"
